Player,Statistic,Per 90,Percentile
Alejandro-Balde,Statistic,Per 90,Percentile
Alejandro-Balde,Non-Penalty Goals,0.00,20
Alejandro-Balde,Non-Penalty xG,0.02,28
Alejandro-Balde,Shots Total,0.42,29
Alejandro-Balde,Assists,0.19,84
Alejandro-Balde,xAG,0.16,84
Alejandro-Balde,npxG + xAG,0.18,68
Alejandro-Balde,Shot-Creating Actions,2.13,56
Alejandro-Balde,,,
Alejandro-Balde,Passes Attempted,64.68,87
Alejandro-Balde,Pass Completion %,88.5%,98
Alejandro-Balde,Progressive Passes,3.01,21
Alejandro-Balde,Progressive Carries,3.70,94
Alejandro-Balde,Successful Take-Ons,2.08,99
Alejandro-Balde,Touches (Att Pen),2.73,93
Alejandro-Balde,Progressive Passes Rec,7.64,90
Alejandro-Balde,,,
Alejandro-Balde,Tackles,1.39,13
Alejandro-Balde,Interceptions,0.51,6
Alejandro-Balde,Blocks,1.16,51
Alejandro-Balde,Clearances,0.69,2
Alejandro-Balde,Aerials won,0.42,13
Marc-Casado,,,Playing Time,Performance,Expected,Progression,Per 90 Minutes,
Marc-Casado,Season,Age,Squad,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Marc-Casado,2022-2023,18,Barcelona,1. Champions Lg,GR,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Marc-Casado,2022-2023,18,Barcelona,2. Europa Lg,KO,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Marc-Casado,1 Season,1 Club,2 Leagues,,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Marc-Casado,Champions Lg (1 Season),,,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Marc-Casado,Europa Lg (1 Season),,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pablo-Torre,,,Playing Time,Performance,Expected,Progression,Per 90 Minutes,
Pablo-Torre,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Pablo-Torre,2022-2023,19,Barcelona,es ESP,1. La Liga,1st,2,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Pablo-Torre,1 Season,1 Club,,1 League,,2,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Frenkie-de-Jong,Statistic,Per 90,Percentile
Frenkie-de-Jong,Non-Penalty Goals,0.06,48
Frenkie-de-Jong,Non-Penalty xG,0.09,62
Frenkie-de-Jong,Shots Total,0.74,28
Frenkie-de-Jong,Assists,0.09,61
Frenkie-de-Jong,xAG,0.12,72
Frenkie-de-Jong,npxG + xAG,0.21,68
Frenkie-de-Jong,Shot-Creating Actions,3.29,82
Frenkie-de-Jong,,,
Frenkie-de-Jong,Passes Attempted,68.66,91
Frenkie-de-Jong,Pass Completion %,89.2%,93
Frenkie-de-Jong,Progressive Passes,7.87,93
Frenkie-de-Jong,Progressive Carries,3.03,94
Frenkie-de-Jong,Successful Take-Ons,1.42,90
Frenkie-de-Jong,Touches (Att Pen),2.02,78
Frenkie-de-Jong,Progressive Passes Rec,3.41,79
Frenkie-de-Jong,,,
Frenkie-de-Jong,Tackles,1.45,14
Frenkie-de-Jong,Interceptions,1.13,55
Frenkie-de-Jong,Blocks,0.45,1
Frenkie-de-Jong,Clearances,0.62,16
Frenkie-de-Jong,Aerials won,0.98,55
Ilias-Akhomach,,,Playing Time,Performance,Expected,Progression,Per 90 Minutes,
Ilias-Akhomach,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Ilias-Akhomach,2021-2022,17,Barcelona,es ESP,1. La Liga,2nd,2,2,124,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.7,7,11,13,0.00,0.00,0.00,0.00,0.00,0.11,0.43,0.54,0.11,0.54,Matches
Ilias-Akhomach,1 Season,1 Club,,1 League,,2,2,124,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.7,7,11,13,0.00,0.00,0.00,0.00,0.00,0.11,0.43,0.54,0.11,0.54,
Alvaro-Sanz,,,Playing Time,Performance,Expected,Progression,Per 90 Minutes,
Alvaro-Sanz,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Alvaro-Sanz,2021-2022,20,Barcelona,es ESP,1. La Liga,2nd,2,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches
Alvaro-Sanz,2022-2023,21,CD Mirandés,es ESP,2. Segunda División,11th,5,1,129,1.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Alvaro-Sanz,2 Seasons,2 Clubs,,2 Leagues,,7,1,158,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,
Alvaro-Sanz,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Alvaro-Sanz,CD Mirandés (1 Season),,1 League,,5,1,129,1.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Alvaro-Sanz,Barcelona (1 Season),,1 League,,2,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,
Alvaro-Sanz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvaro-Sanz,Segunda División (1 Season),,,,5,1,129,1.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Alvaro-Sanz,La Liga (1 Season),,,,2,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,
Memphis,Statistic,Per 90,Percentile
Memphis,Non-Penalty Goals,0.70,99
Memphis,Non-Penalty xG,0.44,97
Memphis,Shots Total,3.14,87
Memphis,Assists,0.00,1
Memphis,xAG,0.15,26
Memphis,npxG + xAG,0.58,87
Memphis,Shot-Creating Actions,4.06,65
Memphis,,,
Memphis,Passes Attempted,46.57,77
Memphis,Pass Completion %,76.8%,55
Memphis,Progressive Passes,3.37,41
Memphis,Progressive Carries,2.67,38
Memphis,Successful Take-Ons,2.55,91
Memphis,Touches (Att Pen),7.78,99
Memphis,Progressive Passes Rec,12.31,93
Memphis,,,
